	Main Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YOR317w	2	0.56053	-1.22931	-1.36376	-1.00243	-1.22091	-1.10327	-1.11167	-0.54867	0.47650	1.19916	1.64452	1.07312	0.63616	0.42608	0.35886	0.37567	0.82943	
YKL165c	2	0.45595	0.81787	1.73272	1.24010	-0.19752	-1.01184	-1.16263	-1.79599	-1.17269	-0.19752	1.03904	1.13957	0.63691	-0.03666	-0.49912	-0.54938	-0.43880	
YLL002w	2	-1.20072	-0.68221	1.98439	0.66167	-0.28011	-0.48116	-1.33828	-0.67163	-0.26952	1.10611	1.36007	1.67752	0.22782	-0.42825	-0.38592	-0.60814	-0.67163	
YPL124w	2	-1.15269	-1.33599	2.00022	0.38710	0.46959	0.48792	-0.50194	-1.02437	-1.01520	0.16713	1.41363	1.36780	0.50625	0.35044	-0.51111	-1.04270	-0.56610	
YKL101w	2	-1.53564	-1.16185	1.14044	0.82619	0.51856	-0.24556	-0.44734	-1.14531	-1.04607	0.12823	1.35876	1.87149	1.10075	0.01576	-0.13971	-0.68882	-0.54989	
YLR457c	2	0.57516	0.69477	2.78788	0.03694	-1.05447	-0.42654	-0.12752	-0.84516	-0.39664	-0.33683	1.17320	0.91903	0.05189	-1.35348	-0.69565	-0.69565	-0.30693	
YDR297w	2	-1.92967	-0.64609	0.81917	2.03956	1.64856	0.85077	0.02137	-0.13266	-0.35383	-1.13978	0.70464	0.46372	-0.56315	0.03322	-0.56710	-0.70533	-0.54340	
YBR070c	2	-0.37219	0.60535	3.19754	1.17923	-0.22143	-0.41110	-0.76613	-0.93148	-0.61050	0.26491	0.20655	0.38163	-0.05121	-0.45973	-0.58618	-0.75154	-0.67372	
YLR233c	2	-0.26399	-0.36408	3.15605	0.65359	-0.51423	-0.09715	-0.71443	-0.44750	-0.66438	0.01963	1.30423	0.21982	-0.14720	0.21982	-0.39745	-1.18156	-0.78116	
YPL057C/	2	-1.09562	-0.68543	-0.32082	1.22878	0.62109	-0.01698	-0.65505	-0.74620	0.05898	1.12243	1.74531	1.33512	0.92493	-0.76139	-1.08043	-1.62735	-0.04736	
YBR073w	2	-0.57190	-0.22350	2.33138	0.29462	1.31895	-0.69101	-0.28008	-0.87860	-0.98282	0.63706	1.21473	1.22664	-0.22946	-0.53616	-0.72972	-0.99175	-0.90838	
YGL200c	2	-1.29464	-0.65280	1.69716	0.23749	0.24784	-0.65280	-1.46028	-1.58450	-1.16006	1.03462	0.71370	1.22096	0.48595	0.68264	-0.09378	0.80687	-0.22836	
YHR153c	2	-0.89043	-0.41460	1.90506	0.44784	-0.71199	-0.41460	-0.65251	-0.94991	-0.74173	0.18018	1.69688	2.11323	0.38836	-0.23616	-0.35512	-0.74173	-0.62277	
YNL272C	2	-1.27583	-1.47021	1.26726	0.70033	-0.49833	-0.72510	-0.41734	-1.30823	-0.04478	0.02001	1.88278	0.92710	1.26726	0.82991	0.03621	-0.74130	-0.44973	
YOR316C	2	0.07070	-1.24883	-0.94834	-0.96140	-0.88302	-0.45188	-0.32124	-0.53027	-0.08607	2.42234	1.22039	1.41636	-0.71318	-0.63479	0.42345	0.48877	0.73700	
YKR077w	2	-0.95761	0.67673	0.75354	-0.52236	-0.65037	-0.29193	-0.84666	-0.94054	-0.67171	2.19158	2.29826	0.58712	-0.07857	-0.08710	-0.49675	-0.66744	-0.29619	
YDL105w	2	0.25246	-0.40562	1.74028	0.10940	0.30968	-0.66312	-0.74896	-0.83480	-1.06369	1.94057	1.31110	1.28249	-0.23395	-0.60590	-0.86341	-1.17814	-0.34839	
YPL267w	2	-0.84771	0.59053	2.75744	0.66372	-0.66634	-0.41496	-0.72361	-0.95908	-0.80953	0.42189	1.44648	0.70508	0.04960	-0.25905	-0.58042	-0.85407	-0.51997	
YDL156w	2	-0.21790	-0.63237	2.60565	0.48151	-0.50285	-0.91731	-1.17635	-0.81370	-0.34742	1.05140	1.33635	1.05140	0.14476	-0.16609	-0.71008	-0.68417	-0.50285	
YOL017w	2	-0.30074	-0.67302	2.30520	0.24527	-0.52411	-0.32556	-0.72266	-0.97084	-0.82193	0.66718	2.03220	1.01464	0.49345	-0.27592	-0.64820	-0.97084	-0.52411	
YBR071w	2	-0.48877	0.70319	1.78448	-0.43805	-0.27666	-0.55794	-0.89915	-1.24268	-0.81846	1.97122	1.79139	0.55102	-0.32969	-0.38272	-0.64324	-0.63632	-0.08761	
YLL022c	2	-0.62943	-0.50907	2.62038	1.56720	0.29737	-0.83405	-0.63545	-0.68359	-1.05672	0.61031	0.92326	0.50800	0.14090	-0.08779	-0.51508	-0.82803	-0.88821	
YLR236c	2	0.03871	-0.16376	2.56953	1.53189	-0.21438	-0.66992	-0.84708	-1.07486	-0.94831	1.10165	0.79795	0.16525	0.16525	-0.44215	-0.26499	-0.69523	-1.04955	
YCL022c	2	-0.33975	-0.57144	1.39792	0.18983	-0.52179	-0.60453	-0.62108	-0.88587	-0.68728	1.56342	2.07644	1.53032	0.22293	-0.48869	-0.67073	-1.10101	-0.48869	
YCL024w	2	-0.57532	0.05358	1.91857	0.16201	-0.57532	-0.48857	-0.57532	-0.77049	-0.66206	0.20538	2.02700	1.48485	1.00776	-0.87892	-0.64037	-0.98735	-0.70543	
YLR121c	2	-0.09105	0.13117	2.42235	1.15032	0.03155	0.19247	-0.10638	-0.94162	-1.40906	-0.25963	1.49515	0.90511	-0.64277	-0.47419	-0.46653	-0.90331	-1.03358	
YHR154w	2	-0.92964	-0.32408	2.47811	0.53082	-0.27659	-0.07473	-0.65655	-1.09587	-0.77528	-0.30033	1.21950	1.58758	0.69706	0.03213	-0.32408	-0.94151	-0.84652	
YHR110w	2	0.09612	-0.28617	1.24299	1.31046	-0.83337	-0.53353	-1.22315	-1.59045	-0.67595	0.65832	1.88764	1.46038	-0.06879	0.07364	-0.07628	-0.71343	-0.72842	
YDL010w	2	-0.45461	-1.19909	2.07425	1.21160	0.40804	-0.71459	-0.83867	-0.96866	-0.67323	0.60893	1.12297	1.32977	0.71528	-0.34235	-0.65550	-0.94502	-0.67914	
YPR174c	2	-0.00072	0.64591	3.17142	0.74351	-0.91576	-0.59854	-0.87915	-0.56194	-0.68395	-0.52534	0.63371	0.75571	0.10909	-0.58634	-0.59854	-0.30573	-0.40333	
YJL181w	2	-1.08144	-0.01462	1.76686	0.29610	-0.37713	-0.23213	-0.89501	-1.00894	-0.82251	0.53432	2.55403	0.91755	-0.16998	0.29610	-0.40821	-0.87429	-0.48071	
YLR183c	2	-1.02815	-0.46501	2.30286	1.28284	0.03969	-0.43845	-0.61376	-1.00690	-0.92189	-0.10906	1.70785	0.88439	0.45938	-0.05594	-0.52876	-0.74127	-0.76783	
YOL007c	2	-0.65148	0.62548	2.42299	1.65302	0.06156	-0.36681	-0.70028	-0.97140	-1.00935	-0.32343	0.94811	0.85593	0.25676	-0.29632	-0.76535	-0.84397	-0.89549	
YIL026c	2	-0.33032	0.14806	2.73129	0.84722	0.26581	0.29525	-0.72038	-1.08100	-1.06628	-0.02121	0.93554	0.85458	0.25845	-0.13897	-0.86757	-1.19140	-0.91909	
YJR043c	2	-0.99931	0.02614	2.25649	1.73522	0.51323	0.52177	0.31668	-0.04222	-0.52077	-1.66585	0.08596	0.42777	0.34232	-0.23022	-0.61477	-1.35821	-0.79422	
YKL108w	2	-0.07722	0.78047	3.08223	0.93800	-0.65485	-0.27852	-0.56733	-0.75988	-0.39229	-0.84739	-0.06847	0.91175	0.38663	-0.19975	-0.78613	-0.79488	-0.67236	
YLR326w	2	0.28473	-0.67987	1.81419	1.67515	0.88435	0.36294	-0.64511	-1.63579	-0.87106	-0.61035	1.05815	0.76269	0.09355	0.14569	-0.99272	-0.54952	-1.09700	
YLR381w	2	-0.32517	0.08890	2.49052	0.85494	0.08890	0.50298	0.06820	-1.02909	-1.13261	-0.71854	1.45534	0.81353	0.17172	-1.23613	-0.57361	-0.69783	-0.82205	
YNL273w	2	-0.82044	0.18238	2.35362	0.15478	-0.47083	-0.51683	-0.76524	-0.93084	-0.38803	1.13920	1.31400	1.51641	0.16398	-0.47083	-0.93084	-0.64564	-0.88484	
YPL014w	2	0.31166	-1.14157	0.88690	-0.38468	-0.89936	-0.53606	-1.02047	-1.23240	-0.35440	0.79607	2.52178	0.82635	1.25021	-0.23330	-0.38468	-0.62688	0.22083	
YJL018w	2	-0.16842	-0.72259	2.69479	0.97070	0.04709	-0.23000	-0.56866	-1.43070	-0.66102	-0.38393	0.87834	0.78598	0.93992	0.13945	-1.12283	-0.59945	-0.56866	
YBR089w	2	-0.88071	-0.22823	1.93116	0.92914	0.01257	-0.68652	-0.81857	-0.98945	-1.02441	0.92137	1.50783	1.41073	0.51746	-0.34474	-0.44184	-1.09043	-0.72536	
YLR349w	2	-1.63390	-1.21645	0.02861	0.39161	-0.20007	-0.62115	-0.44328	0.09395	0.29723	0.83083	2.90715	0.85624	0.34442	-0.09481	-0.16377	-0.69374	-0.68285	
YCL061c	2	-0.74023	-0.93346	1.16789	0.99882	0.20175	-0.52285	-0.57116	-0.59531	-0.45039	-0.18470	1.74758	1.89250	1.14374	-0.59531	-0.95761	-1.29576	-0.30547	
YDR309c	2	-1.17755	1.63618	-0.09644	-0.60120	-0.74081	-0.39357	-0.85894	-0.96992	-0.59404	0.67321	2.55619	1.12785	-0.32555	0.49422	-0.38283	-0.25754	-0.08928	
YKR013w	2	-0.36372	-0.00345	2.52620	2.00458	-0.02002	-0.32614	-0.82566	-0.84776	-1.16825	-0.20458	0.94807	0.29383	-0.14380	0.16122	-0.36924	-0.77704	-0.88423	
YJL078c	2	-0.44288	-0.01128	-0.80254	-0.39492	-0.41890	-0.20310	-0.82651	-0.97038	-0.58674	1.18759	2.45839	1.47531	1.45134	-0.20310	-0.63470	-0.70663	-0.37094	
YKL161c	2	-0.80960	-1.33011	-1.09988	-0.69950	-0.70951	-0.41923	0.03121	-0.40922	-0.13896	1.19233	2.37346	1.51263	1.19233	0.03121	-0.28910	-0.39921	-0.02885	
YDL018c	2	-0.50737	0.47983	2.55011	1.16240	-0.85712	-0.60891	-0.99250	-1.23507	-0.92481	0.44598	1.07778	0.72803	0.54188	-0.15198	-0.50173	-0.59763	-0.60891	
YKR083c	2	-1.74810	-0.33014	0.86968	0.39372	0.12599	-0.95484	-1.30189	-0.34005	-0.77635	2.30747	1.02833	1.42496	-0.23098	-0.30039	-0.16157	-0.02275	0.01692	
YDR383c	2	0.60885	-0.83078	0.83224	0.83224	-0.75632	-0.48328	-1.84845	-1.05417	-0.60739	0.41028	1.37830	1.67616	0.41028	0.60885	-0.35918	-1.40167	0.58403	
YDR013w	2	-0.72155	-0.48686	2.78311	1.75049	-0.62767	-0.01749	-0.59638	-0.58074	-0.11136	0.51447	0.67093	0.23285	0.09203	-0.56509	-0.58074	-1.30044	-0.45557	
YGR238c	2	0.62334	-0.01647	2.58274	0.42340	0.58335	0.90325	-0.65627	-0.93618	-1.13612	0.14349	0.34342	0.78329	0.06351	-0.29638	-1.53600	-1.09614	-0.77623	
YHR113w	2	0.96058	0.56132	-0.03758	-0.19728	-1.99397	-1.23537	-0.59655	-1.07566	0.32176	0.76095	1.91881	1.16021	0.84080	-0.67640	0.40161	-0.39691	-0.71633	
YDL119c	2	1.58028	-1.10342	-1.39542	-1.04780	-0.43597	-0.38035	-0.47768	-0.51940	-0.38035	0.14805	1.52466	2.26163	0.55130	-0.10224	-0.40816	-0.29692	0.48177	
YDL124w	2	3.00397	1.52214	-0.56691	-0.82317	-0.16581	-0.68390	-1.00143	-0.54463	-0.47778	0.31327	0.39127	0.13501	-0.17138	-0.69504	-0.77860	0.04588	0.49711	
YHR039c	2	-0.69963	-1.73334	-1.50758	-0.77686	-0.83627	-0.55110	0.01328	-0.11742	0.22715	1.46879	1.99159	0.88659	1.05887	-0.11742	0.10239	-0.11148	0.70242	
YDR493w	2	1.47815	0.59634	-1.09719	-1.41254	-1.06215	-0.71760	-0.91616	-0.41978	-0.19203	0.11748	1.14528	0.42115	-0.72928	0.47371	-0.24458	0.28684	2.27236	
YNL309w	2	-0.22859	0.63285	2.60459	1.05400	-0.68803	-0.70717	-0.82203	-1.51118	-0.28602	0.57542	0.95828	0.74771	0.15427	-0.45831	-0.86032	-0.28602	-0.87946	
YPL208w	2	-0.62618	-0.47213	2.80150	1.87718	-0.36429	-0.27956	-0.69551	-0.97280	-0.73402	0.07476	0.78341	0.35206	-0.05618	0.02855	-0.31037	-0.71861	-0.68780	
YLR376c	2	-0.87895	0.35594	2.70222	1.24281	0.49065	0.07528	-0.54216	-1.37290	-0.93508	0.58046	0.55801	0.38962	-0.17170	-0.14924	-1.20451	-0.54216	-0.59829	
YNL300w	2	-0.77436	-0.43797	2.66132	1.95490	0.57121	0.13390	-0.38863	-0.79006	-0.95826	-0.39984	0.64521	-0.39984	0.18996	0.03522	-0.42900	-0.86631	-0.74745	
YAR003W	2	-0.42776	0.45695	2.70110	0.39222	-0.68670	-0.34145	-0.16882	-0.31987	-0.10408	-1.09669	0.56484	0.69431	1.53587	-0.98880	-0.29829	-0.66512	-1.24774	
YCL060c	2	-0.11019	-0.41726	1.76297	1.30236	-0.23302	-1.00070	-1.09282	-0.69363	-0.47867	-0.20231	1.42518	1.42518	1.21023	-0.50938	-0.66292	-1.24636	-0.47867	
YDL103c	2	-1.20921	0.62909	2.79112	0.64065	-0.22647	-0.29584	-0.75831	-0.87393	-0.88549	0.43254	1.06843	0.88345	-0.30740	-0.61957	-1.02423	-0.04149	-0.20335	
YGL028c	2	-0.37687	-0.28891	-0.83137	-0.67009	-0.55281	-0.56747	-0.46484	-0.69942	-0.80204	1.48507	2.52601	1.39711	1.19185	-0.17162	-0.50882	-0.64077	-0.02501	
YNL303w	2	-0.76627	0.20831	2.45661	0.69078	-0.49609	-0.91101	-0.97856	-0.91101	-0.77592	0.96096	1.71361	0.72938	-0.29345	0.02497	-0.57328	-0.50574	-0.57328	
YNL310c	2	0.92213	0.30992	2.57041	0.80440	-0.70848	-0.70848	-1.00282	-1.09112	-0.48479	0.06268	0.96923	1.05164	-0.23166	-0.67316	-1.23240	-0.01974	-0.53777	
YOR144c	2	-0.83136	1.02493	2.35386	0.43429	-0.00869	-0.38838	-0.76807	-0.81026	-0.66260	0.62414	1.21477	1.32024	-0.19853	-0.83136	-1.02120	-0.36729	-1.08449	
YDR113c	3	-1.10658	-0.61428	0.88500	1.28034	2.04117	1.07894	-0.59190	-0.86789	-1.17372	-1.00216	0.01974	0.88500	0.71344	0.43746	-0.18165	-0.80822	-0.99470	
YNL126w	3	-0.33677	-0.25877	0.38082	1.16081	1.25441	1.80040	0.64601	-0.63317	-1.08556	-1.67835	-0.83596	-0.16517	1.12961	0.73961	-0.05598	-1.13236	-0.92956	
YEL061c	3	-1.11905	-0.79778	0.51025	1.33638	1.70355	1.15280	0.39551	-0.26998	-1.18789	-1.50917	-0.79778	-0.13229	1.12985	0.99216	0.00540	-0.66009	-0.75188	
YHR172w	3	-0.70615	0.12617	1.72678	1.79081	0.86245	1.34264	0.19019	-0.86622	-0.93024	-0.83420	-0.35402	-0.19396	0.70239	0.31824	-0.73817	-0.96225	-1.47445	
YPR141c	3	-0.64054	-0.85859	0.85859	2.27596	1.55365	1.39011	0.16354	-0.50425	-0.92674	-1.00851	-0.62691	-0.42248	0.43611	0.23168	-0.13628	-0.94037	-0.84497	
YLR045c	3	-1.64677	-1.61786	-0.16269	0.34806	2.11160	1.07082	0.61789	-0.25906	-0.76981	-1.32875	-0.27834	0.11678	0.84918	0.77208	0.71426	-0.11451	-0.42289	
YGR140w	3	-0.88064	-0.62014	1.86223	1.20333	1.34124	1.41785	0.16135	-0.74273	-1.04919	-0.95725	-0.43626	0.05408	0.60572	0.65169	-0.58950	-0.74273	-1.27904	
YBL063w	3	-1.11583	-1.37589	0.01620	0.70459	2.41793	0.91876	0.24566	-0.64160	-0.58041	-1.48297	-0.41214	0.70459	1.14822	0.45983	-0.13678	-0.24386	-0.62630	
YDR488c	3	-1.32845	-0.31438	0.83673	1.63155	-0.42401	0.31599	-0.61586	-1.49290	-0.45142	-0.20475	0.67229	1.49451	1.38488	0.91895	-0.78030	-1.16401	-0.47882	
YMR198w	3	-1.76320	-1.06307	-1.98199	-0.49421	0.68726	0.84042	0.29344	0.92793	0.46847	-0.60361	-0.73488	0.07465	1.49679	0.40283	0.07465	1.38739	-0.01287	
YOR026w	3	-1.81912	-0.04586	2.81276	0.67262	0.35924	-0.19108	-0.15287	-0.07643	-0.47389	-0.12229	0.58090	1.29937	-0.34395	-0.42803	-0.51211	-0.57325	-0.98599	
YDR356w	3	-1.31906	-1.03499	-0.04073	0.63394	1.71697	1.87676	-0.52010	-0.83969	-0.73316	-0.91070	0.29661	1.02454	1.13107	0.52741	-0.25379	-0.73316	-0.82193	
YIL140w	3	-0.53322	-0.61812	2.29658	1.68346	0.28742	-0.08046	-0.75018	-0.99543	-1.09919	-0.55209	0.67416	1.19296	0.78735	-0.14648	-0.61812	-0.75961	-0.76904	
YKL067w	3	-0.44788	-0.82160	0.11080	0.97149	0.45810	-1.20287	-1.49731	-1.86348	-0.69325	0.83181	0.30710	2.01714	0.86956	-0.02509	-0.16099	0.46942	0.67704	
YJR006w	3	-0.55181	-0.65137	2.35754	1.14070	0.37741	0.51016	0.16723	-0.45225	-0.18676	-1.07173	-1.95670	1.16283	0.65397	0.15617	-0.46331	-0.72880	-0.46331	
YBL003c/	3	-1.27887	-1.59422	0.34241	0.63180	1.97668	-0.97465	-0.09351	-0.66671	-1.23806	-0.38475	0.29047	0.93416	0.00480	0.57058	1.64649	0.30902	-0.47565	
YBL002w/	3	-1.62991	-1.33230	0.17743	1.00825	1.63447	-0.71539	-0.56968	-0.70144	-1.14010	-0.74329	0.36189	1.45001	0.79900	1.01135	0.53859	0.41149	-0.56038	
YMR190c	3	-0.31637	-1.02006	-0.49229	0.06061	1.87010	1.97063	1.46799	0.21140	-0.06505	-1.59809	-0.61795	-0.26610	0.43759	0.21140	-0.64308	-0.03992	-1.17085	
YJL115w	3	-0.06999	0.28558	2.70615	1.37278	-0.39136	-0.48709	-0.75376	-0.91103	-0.35717	-0.97257	-0.97257	1.20184	0.82576	-0.01528	-0.53495	-0.63068	-0.29563	
YDL197c	3	0.07492	-0.46774	2.38952	1.66966	0.48468	-0.09120	-0.95502	-0.99932	-0.93288	0.05277	0.82799	0.92766	-0.01368	-0.27947	-0.73353	-1.27619	-0.67816	
YCR065w	3	-1.53560	-0.13771	1.83281	1.31071	0.58650	-0.01981	-0.69350	-0.32297	-0.89560	0.06440	1.05808	1.20966	0.92334	-0.22192	-1.06402	-1.04718	-1.04718	
YPL016w	3	-1.64919	-1.43639	0.15960	0.85119	1.82652	1.64919	0.78026	0.67386	0.17733	-1.02852	-0.31920	-0.90439	0.46106	0.19506	-0.17733	-0.99306	-0.26600	
YBL052c	3	-0.89082	-1.71441	-1.76483	-0.31935	1.47910	0.30254	1.42867	0.99167	0.23531	-0.95805	-1.09251	0.11766	1.02528	0.43701	0.55466	0.11766	0.05042	
YBR275c	3	-0.92868	-0.27826	1.70258	1.00781	1.45128	-0.38173	-0.72173	-0.20434	-0.95824	0.71216	1.08172	1.09650	0.44608	-0.78086	-0.88433	-1.46084	-0.89912	
YIL126w	3	-2.17394	-0.94788	-0.69766	-0.72268	0.90372	2.25489	0.62848	0.60346	0.82866	-0.37238	-0.62260	0.20312	1.02883	0.10303	-0.27229	-0.24727	-0.49749	
YFR037c	3	-1.45786	-0.19207	1.49086	1.97992	0.36891	-0.00508	0.35452	-0.00508	-0.40783	-1.45786	-0.98319	0.16753	1.60594	-0.03384	-1.05511	0.25384	-0.62359	
YKL127W/	3	-1.51351	-1.43761	0.83176	1.78049	-0.46611	-0.12456	-0.18528	-0.48888	-1.10366	0.17144	1.46172	0.78622	0.78622	0.93043	0.32324	-0.60273	-1.14920	
YAR008w	3	-1.05606	0.18771	2.73178	0.79703	-0.25829	-0.68544	-0.67916	-0.92414	-0.61006	0.23168	0.85357	0.65884	1.16765	-0.08868	-0.51584	-1.03721	-0.77338	
YER001w	3	-1.48932	0.14778	1.61507	1.25804	1.44091	0.03893	-0.35293	-0.94071	-1.45448	-1.31080	0.06070	0.76169	0.84877	0.71815	-0.17006	-0.34857	-0.82316	
YER003c	3	-1.50453	-0.88809	1.38564	1.74943	1.38564	-0.08976	0.01129	-0.45356	-1.14073	-0.76683	0.09214	0.75910	1.14311	0.47615	-0.56472	-0.45356	-1.14073	
YDL093w	3	-0.21165	-1.28939	1.54590	2.19255	1.26403	0.00390	0.08680	-0.32771	-0.36087	-0.52668	0.35210	0.89926	0.16971	-0.65933	-0.69249	-0.99094	-1.45520	
YIR017c	3	-0.80628	-1.11655	-0.40475	1.43863	2.53370	1.78540	-0.42300	-0.82453	-0.75152	-0.80628	-0.24049	0.19754	-0.00322	-0.11273	-0.13098	-0.22224	-0.11273	
YKR001c	3	-1.91457	-1.53469	-0.42546	0.89650	1.04845	0.66858	0.16714	-1.32196	-0.33429	-1.32196	0.80533	0.82053	1.44352	0.51663	0.13675	0.00000	0.34948	
YDL095w	3	-0.14587	-1.01456	0.99133	1.57573	0.65175	-0.69077	-0.73026	-1.19620	-1.00666	0.54119	1.29932	1.65470	0.49381	-0.29591	0.00418	-0.69077	-1.44101	
YNL073w	3	0.71455	-0.57332	-0.93902	-0.90722	-1.43191	-1.20931	-0.71642	-1.08212	0.15806	1.35054	1.43004	1.71623	0.87355	0.23756	0.09446	-0.38253	0.66685	
YER118c	3	-1.71413	-0.69485	0.82709	1.02256	0.36632	-0.10842	-0.84844	-0.52730	-0.93222	-1.02996	0.05914	1.30182	2.04184	1.21804	-0.42956	-0.06653	-0.48541	
YJR137c	3	-1.26337	-1.11770	-1.02269	0.17436	2.85981	1.21307	0.33903	-0.26899	-0.71868	-0.73135	-0.64268	-0.19932	0.32003	-0.00931	0.02235	0.31370	0.73172	
YER017c	3	0.42834	0.70091	-0.35046	-0.97349	1.47971	-1.59653	-0.03894	-0.23364	0.07788	1.12925	0.89561	0.70091	0.38940	-0.27258	-2.49214	-0.38940	0.54516	
YER016w	3	-0.89228	-0.67383	0.54131	3.03985	0.86899	0.03614	-0.14135	-0.26423	-1.43841	0.18633	0.14537	0.36382	0.03614	0.51400	-0.87863	-0.59191	-0.85132	
YCR035c	3	-0.11804	-1.87731	-1.17635	-0.46165	1.36635	0.12936	1.86114	0.56918	0.51420	-1.32754	-0.91521	0.23931	0.48671	-0.03557	0.47297	-0.80526	1.07772	
YOL019w	3	-1.70369	-1.38729	0.14603	0.80317	0.43201	0.04259	-0.68148	-1.23518	-0.66322	1.29602	1.26560	1.88014	0.73624	-0.13995	-0.71190	-0.04868	-0.03042	
YLR151c	3	0.61746	-1.04069	2.93887	0.99235	0.01187	-0.78115	-0.42069	-1.08395	-0.85325	0.02629	-0.42069	1.05002	0.51653	-0.17557	-0.43511	-0.39185	-0.55046	
YOR284w	3	0.40045	0.28039	2.96986	1.52907	-0.05580	-0.16385	-0.54806	-0.81221	-0.94428	-0.35596	0.43647	0.35243	-0.16385	-0.52405	-0.98030	-0.77619	-0.64412	
YMR048w	3	0.27234	-0.26187	3.21048	0.15363	-0.88511	-0.84059	-0.66252	-0.97414	-0.66252	0.04975	0.65816	0.89558	0.48009	0.03492	-0.58833	-0.49929	-0.38058	
YKR010c	3	-0.83259	-0.41277	-0.14288	0.75674	2.52600	0.81672	0.88669	-0.64267	-0.84259	-1.08249	-1.27241	-0.84259	0.78673	0.75674	0.58681	-0.48274	-0.56271	
YHR061c	3	-0.36550	-1.19029	-0.14555	0.34933	0.95417	1.83396	0.67924	-1.02533	-0.86037	-1.30027	0.01941	0.51428	0.73423	0.95417	1.00916	-0.36550	-1.79514	
YEL017w	3	-0.76693	-0.48101	-0.19510	0.94857	1.86349	0.63406	-1.05284	-0.36664	-0.50960	-0.73833	-1.39594	-0.25228	1.92068	1.23448	-0.85270	0.43392	-0.42383	
YLL062c	3	-0.98580	-0.75452	-0.87016	1.27358	2.58118	1.62050	-0.27418	-0.90574	-0.75452	-0.28308	-0.41650	0.20616	0.08163	-0.49656	-0.54104	-0.15854	0.67761	
YJR155w	3	-0.13859	0.92486	2.59366	1.17027	0.13955	-0.95662	-1.64377	-1.15295	-0.84210	-0.18767	0.33588	0.89214	-0.05678	-0.12222	-0.49852	-0.36764	-0.08950	
YLR126c	3	0.52798	0.04135	2.64751	1.20925	0.16030	-1.15900	-0.73726	-1.61319	-0.72644	-0.65075	-0.83458	0.64693	0.75507	0.05216	-0.28307	-0.09923	0.06298	
YJL118w	3	-1.66082	-1.78485	-0.17237	1.48662	1.19203	1.17653	-0.40494	-0.29641	-0.52898	-0.42045	0.41680	0.74240	0.81992	1.23854	-0.29641	-0.48247	-1.02513	
YDR179c	3	-0.29053	-0.01401	0.01672	1.77573	1.43775	1.77573	0.71571	-0.02937	-0.63619	-1.63475	-1.35055	-0.42111	-0.26749	0.76180	-0.28285	-0.72068	-0.83590	
YDR219c	3	-1.19833	-1.53506	-1.73709	0.83883	0.46844	1.84900	-0.22184	0.26641	0.55262	-1.34986	-0.72692	0.35059	0.83883	0.95669	0.55262	-0.05348	0.14855	
YNL176c	3	-0.91509	-1.44380	-1.80984	-0.06101	1.42347	1.24045	1.13877	0.48805	0.28469	-1.46414	-0.38637	0.18302	1.38280	0.12201	0.38637	-0.12201	-0.44738	
YER018c	3	-0.79373	-0.71232	0.73268	1.56711	2.74753	0.69197	0.08141	0.02035	-0.87514	-0.63091	-0.85479	-0.14246	0.02035	0.14246	-0.18317	-0.56986	-1.24148	
YBR156c	3	-0.78569	-0.80762	0.09160	0.88116	2.48221	1.45140	0.44251	0.48638	-0.52250	-0.36898	-0.54444	0.17933	0.63990	-0.43477	-0.50057	-1.48752	-1.20240	
YLR455w	3	-1.22726	-0.74724	-1.83607	0.59917	1.53580	0.92699	-0.33746	0.64600	-0.94627	-0.98140	-0.44283	0.03719	0.59917	1.27823	1.44214	0.02548	-0.57162	
YBR184w	3	2.43251	0.86131	-0.50931	0.99503	1.42961	0.42672	-0.07473	0.05899	-0.44245	-1.27820	-1.04419	-0.07473	0.42672	-0.97733	-0.57617	-0.60960	-1.04419	
YLR228c	3	0.68469	-0.17337	0.53546	1.35621	2.21427	0.42354	-0.80758	0.68469	0.16239	0.23701	-1.81487	-0.28529	0.12509	-1.25527	-1.29257	-0.13606	-0.65836	
YDR252w	3	1.68273	-0.35358	-1.13866	0.16163	1.80540	0.70138	-0.50078	0.60324	-0.32904	-2.24268	-1.04052	-0.15731	0.28430	0.45604	-0.45171	0.75045	-0.23091	
YNL304w	3	-1.84045	-0.36077	1.56924	0.11101	0.45412	-0.78966	0.43268	0.06812	-0.96122	0.00378	1.09746	2.23402	0.00378	-0.08199	-0.78966	-0.03910	-1.11133	
YGR189C	3	-0.01065	-0.23524	2.63755	0.88773	0.36479	-0.37938	-0.53023	-1.14367	-1.17384	1.28663	0.39161	0.25752	0.27428	-0.66432	-1.49565	-0.56375	0.09662	
YAL034W-a	3	-0.97619	-0.11512	2.10279	0.74595	0.87642	-0.16730	0.17191	-0.76744	-1.26321	0.51112	0.45893	0.98079	1.18954	-0.32386	-0.79354	-1.34149	-1.28930	
YBR007c	3	-1.05456	-0.57406	1.71244	0.83429	1.91127	1.34793	0.35379	-0.06043	-0.73975	-1.15397	-0.20955	0.35379	0.53605	-0.83917	-0.47465	-0.67348	-1.26996	
YBR276c	3	-0.78256	1.23824	1.06984	1.29437	0.15299	-1.17550	0.02201	0.30268	-0.09025	-0.25865	1.59375	0.80788	0.34010	-1.30648	-0.29608	-1.69941	-1.21292	
