	Main Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YDL105w	2	4.58497	4.31749	5.01064	4.53260	4.60517	4.18965	4.14313	4.09434	3.95124	5.05625	4.90527	4.89784	4.39445	4.21951	4.07754	3.87120	4.34381
YPL267w	2	4.88280	6.36990	7.14283	6.40853	5.24175	5.59099	5.14166	4.57471	4.96981	6.27476	6.74876	6.42972	6.02587	5.75890	5.37528	4.86753	5.45959
YDL156w	2	4.31749	4.07754	5.21494	4.62497	4.15888	3.87120	3.63759	3.95124	4.24850	4.82028	4.90527	4.82028	4.48864	4.34381	4.02535	4.04305	4.15888
YOL017w	2	4.21951	3.97029	5.15329	4.49981	4.07754	4.20469	3.93183	3.71357	3.85015	4.67283	5.08760	4.79579	4.60517	4.23411	3.98898	3.71357	4.07754
YBR071w	2	6.43775	7.04054	7.38461	6.47235	6.57508	6.38856	6.10256	5.69709	6.17794	7.43367	7.38647	6.98101	6.54247	6.50877	6.32436	6.32972	6.68336
YLL022c	2	5.75574	5.81711	6.75227	6.52356	6.15273	5.64191	5.75257	5.72685	5.50126	6.25767	6.35263	6.22456	6.09582	6.00635	5.81413	5.64545	5.60947
YLR236c	2	4.46591	4.36945	5.23111	4.98361	4.34381	4.07754	3.95124	3.76120	3.87120	4.85981	4.76217	4.52179	4.52179	4.21951	4.31749	4.06044	3.78419
YCL022c	2	4.23411	4.00733	5.15906	4.61512	4.06044	3.97029	3.95124	3.58352	3.87120	5.21494	5.37064	5.20401	4.63473	4.09434	3.89182	3.13549	4.09434
YCL024w	2	3.93183	4.38203	5.11199	4.44265	3.93183	4.00733	3.93183	3.73767	3.85015	4.46591	5.14166	4.98361	4.82028	3.61092	3.87120	3.46574	3.80666
YLR121c	2	5.66643	5.76205	6.42487	6.11147	5.72031	5.78690	5.65948	5.18178	4.76217	5.58725	6.20658	6.03787	5.37990	5.47646	5.48064	5.20949	5.11199
YHR154w	2	4.41884	4.89784	5.91350	5.32788	4.92725	5.04343	4.66344	4.23411	4.56435	4.91265	5.57595	5.68698	5.39363	5.09987	4.89784	4.40672	4.49981
YHR110w	2	5.83188	5.66988	6.20254	6.22059	5.37990	5.54908	5.10595	4.75359	5.47227	6.03069	6.36303	6.25958	5.76519	5.82305	5.76205	5.45104	5.44242
YDL010w	2	5.97381	5.58725	6.71052	6.51471	6.28972	5.85507	5.79301	5.72359	5.87493	6.35089	6.49224	6.54391	6.38182	6.02102	5.88332	5.73657	5.87212
YPR174c	2	5.03695	5.33272	6.02587	5.37064	4.36945	4.65396	4.40672	4.68213	4.58497	4.70953	5.32788	5.37528	5.09375	4.66344	4.65396	4.85981	4.79579
YJL181w	2	4.77912	5.40268	5.97635	5.52943	5.23111	5.30330	4.91998	4.83628	4.96981	5.61677	6.15273	5.74300	5.33272	5.52943	5.21494	4.93447	5.17615
YLR183c	2	4.18965	5.14749	6.54103	6.21661	5.58725	5.17615	4.96981	4.24850	4.45435	5.47646	6.36475	6.05444	5.84644	5.51745	5.07517	4.78749	4.74493
YOL007c	2	5.73334	6.65929	7.27448	7.05531	6.34914	6.02587	5.67332	5.25227	5.17615	6.06379	6.80128	6.76273	6.46770	6.08677	5.58725	5.47227	5.38907
YIL026c	2	5.43372	5.68358	6.46925	5.96358	5.73657	5.74939	5.17048	4.84419	4.85981	5.60212	5.99396	5.96615	5.73334	5.54126	5.04986	4.71850	5.00395
YJR043c	2	5.41610	5.84354	6.40688	6.30079	5.99645	5.99894	5.93754	5.82008	5.63835	4.99043	5.86363	5.97126	5.94542	5.75257	5.59842	5.20949	5.51745
YKL108w	2	5.01064	5.51343	6.23637	5.58350	4.43082	4.84419	4.54329	4.27667	4.73620	4.12713	5.01728	5.57215	5.31321	4.91265	4.23411	4.21951	4.40672
YLR326w	2	5.56834	5.01728	6.08222	6.04501	5.80212	5.60212	5.04343	3.71357	4.85981	5.06890	5.86079	5.75890	5.48064	5.50533	4.74493	5.11199	4.63473
YLR381w	2	4.71850	4.88280	5.51343	5.12990	4.88280	5.02388	4.87520	4.35671	4.29046	4.53260	5.28827	5.11799	4.91265	4.21951	4.60517	4.54329	4.47734
YNL273w	2	4.88280	5.48480	6.16752	5.47227	5.13580	5.10595	4.92725	4.78749	5.18739	5.84354	5.89715	5.95584	5.47646	5.13580	4.78749	5.01728	4.82831
YPL014w	2	4.47734	3.68888	4.67283	4.17439	3.87120	4.09434	3.78419	3.61092	4.18965	4.64439	5.08140	4.65396	4.77912	4.24850	4.17439	4.04305	4.44265
YJL018w	2	4.53260	4.31749	5.22575	4.86753	4.60517	4.51086	4.38203	3.95124	4.34381	4.45435	4.84419	4.82028	4.85981	4.63473	4.12713	4.36945	4.38203
YBR089w	2	5.48480	6.01372	6.87213	6.56103	6.15486	5.67332	5.54908	5.36129	5.31812	6.55820	6.75227	6.72263	6.39859	5.93754	5.86930	5.23111	5.63835
YLR349w	2	5.79301	6.09357	6.66696	6.78672	6.58341	6.40853	6.48616	6.68960	6.75693	6.91473	7.36455	6.92166	6.77194	6.62274	6.59715	6.37502	6.38012
YCL061c	2	4.09434	3.95124	4.93447	4.88280	4.59512	4.23411	4.20469	4.18965	4.27667	4.41884	5.09375	5.12990	4.92725	4.18965	3.93183	3.61092	4.35671
YDR309c	2	5.84644	7.03174	6.47389	6.22851	6.14847	6.33683	6.07535	6.00141	6.23245	6.76041	7.23634	6.89770	6.36990	6.70073	6.34212	6.40192	6.47697
YKR013w	2	7.01840	7.27448	8.22470	8.08948	7.26403	7.04839	6.54965	6.52062	5.96358	7.13966	7.74240	7.44542	7.18235	7.37275	7.01392	6.61070	6.47080
YJL078c	2	4.40672	4.60517	4.20469	4.43082	4.41884	4.52179	4.18965	4.09434	4.33073	5.01064	5.31321	5.08760	5.08140	4.52179	4.30407	4.26268	4.44265
YKL161c	2	4.67283	4.00733	4.35671	4.77068	4.76217	4.98361	5.25227	4.99043	5.15906	5.72685	6.05209	5.82600	5.72685	5.25227	5.06890	4.99721	5.22036
YDL018c	2	5.62402	6.11368	6.70808	6.35089	5.37064	5.55683	5.25227	4.99721	5.31321	6.10032	6.32436	6.20658	6.13773	5.82895	5.62762	5.56452	5.55683
YKR083c	2	5.23644	5.80212	6.11368	6.00141	5.93225	5.59099	5.45104	5.79909	5.65599	6.39192	6.14847	6.23048	5.83188	5.81114	5.85220	5.89164	5.90263
YDR383c	2	5.05625	4.59512	5.11199	5.11199	4.62497	4.72739	4.06044	4.49981	4.68213	5.00395	5.23644	5.29832	5.00395	5.05625	4.77068	4.33073	5.04986
YDR013w	2	5.08760	5.17615	5.95584	5.76832	5.12396	5.33272	5.13580	5.14166	5.30330	5.48480	5.52545	5.40717	5.36598	5.14749	5.14166	4.82831	5.18739
YGR238c	2	4.61512	4.44265	5.01064	4.56435	4.60517	4.68213	4.23411	4.12713	4.04305	4.48864	4.54329	4.65396	4.46591	4.35671	3.85015	4.06044	4.18965
YHR113w	2	4.67283	4.57471	4.40672	4.35671	3.49651	3.95124	4.21951	4.02535	4.51086	4.62497	4.87520	4.71850	4.64439	4.18965	4.53260	4.29046	4.17439
YDL119c	2	5.75890	4.82028	4.63473	4.85203	5.14749	5.17048	5.12990	5.11199	5.17048	5.36598	5.74620	5.90263	5.49306	5.27811	5.15906	5.20401	5.47227
YDL124w	2	6.93147	6.63068	5.94803	5.82008	6.12030	5.89164	5.72031	5.95842	5.98896	6.29342	6.31897	6.23245	6.11810	5.88610	5.84354	6.20051	6.35263
YHR039c	2	5.88053	5.21494	5.40268	5.84354	5.81413	5.94803	6.16961	6.12249	6.24222	6.58341	6.69827	6.43775	6.48311	6.12249	6.20051	6.12468	6.38688
YDR493w	2	6.69456	6.48768	5.90536	5.74620	5.92158	6.06843	5.98645	6.18002	6.25767	6.35437	6.62141	6.44095	6.06379	6.45520	6.24028	6.40357	6.85013
YNL309w	2	4.35671	4.81218	5.42053	4.97673	3.98898	3.97029	3.85015	2.39790	4.31749	4.78749	4.94164	4.85981	4.58497	4.18965	3.80666	4.31749	3.78419
YPL208w	2	5.57595	5.64897	6.56386	6.37843	5.69709	5.73334	5.54126	5.38907	5.52146	5.87212	6.10256	5.96871	5.82305	5.85507	5.72031	5.52943	5.54518
YLR376c	2	5.39363	5.79909	6.28972	6.01372	5.83481	5.72031	5.52146	5.17048	5.37064	5.85793	5.85220	5.80814	5.64545	5.65249	5.25227	5.52146	5.50126
YNL300w	2	5.50939	5.98394	7.48381	7.28893	6.74170	6.48004	6.03787	5.48064	5.10595	6.02587	6.77992	6.02587	6.51767	6.41017	5.99396	5.32788	5.55683
YAR003W	2	5.00395	5.24702	5.68358	5.23111	4.91998	5.03044	5.08140	5.03695	5.09987	4.77068	5.27300	5.30330	5.48064	4.81218	5.04343	4.92725	4.70953
YCL060c	2	4.24850	4.09434	4.87520	4.75359	4.18965	3.71357	3.63759	3.93183	4.06044	4.20469	4.78749	4.78749	4.72739	4.04305	3.95124	3.49651	4.06044
YDL103c	2	5.48894	5.99396	6.37673	5.99645	5.78996	5.77144	5.63835	5.60212	5.59842	5.95064	6.08450	6.04737	5.76832	5.68017	5.55296	5.83773	5.79606
YGL028c	2	4.06044	4.15888	3.29584	3.63759	3.82864	3.80666	3.95124	3.58352	3.36730	5.22036	5.54518	5.18739	5.10595	4.27667	3.89182	3.68888	4.40672
YNL303w	2	5.51745	5.85793	6.36819	5.99146	5.62402	5.45532	5.42495	5.45532	5.51343	6.05912	6.22654	6.00141	5.69709	5.80212	5.59471	5.62040	5.59471
YNL310c	2	6.63726	6.49072	6.94986	6.61070	6.18621	6.18621	6.07764	6.04263	6.26149	6.42487	6.64769	6.66568	6.34036	6.19848	5.98394	6.40192	6.24417
YOR144c	2	4.75359	5.31812	5.58725	5.17048	5.04343	4.91998	4.77912	4.76217	4.82028	5.22036	5.36129	5.38450	4.98361	4.75359	4.67283	4.92725	4.64439
YDR113c	3	4.89035	5.29330	5.99146	6.11589	6.31897	6.05444	5.30827	5.10595	4.82028	4.99043	5.64897	5.99146	5.93225	5.82895	5.54908	5.15329	4.99721
YNL126w	3	4.95583	4.99043	5.23644	5.47227	5.49717	5.63121	5.32301	4.81218	4.54329	4.02535	4.70048	5.03044	5.46383	5.35186	5.07517	4.51086	4.64439
YEL061c	3	3.89182	4.14313	4.78749	5.04986	5.14749	4.99721	4.74493	4.45435	3.82864	3.46574	4.14313	4.52179	4.99043	4.94876	4.58497	4.23411	4.17439
YHR172w	3	4.04305	4.41884	4.89035	4.90527	4.66344	4.79579	4.44265	3.95124	3.91202	3.97029	4.21951	4.29046	4.61512	4.48864	4.02535	3.89182	3.49651
YPR141c	3	4.48864	4.29046	5.29330	5.71373	5.52146	5.47227	4.99721	4.59512	4.21951	4.12713	4.49981	4.65396	5.12396	5.03044	4.83628	4.20469	4.30407
YLR045c	3	4.61512	4.64439	5.54126	5.73010	6.19644	5.94803	5.81711	5.50126	5.25750	4.89784	5.49306	5.64897	5.88610	5.86363	5.84644	5.56068	5.42935
YGR140w	3	4.81218	4.94164	5.71043	5.55683	5.59099	5.60947	5.25227	4.88280	4.71850	4.77068	5.02388	5.21494	5.39363	5.40717	4.95583	4.88280	4.57471
YBL063w	3	4.26268	3.98898	4.97673	5.24702	5.71043	5.31812	5.07517	4.62497	4.66344	3.85015	4.76217	5.24702	5.38907	5.15906	4.90527	4.85203	4.63473
YDR488c	3	4.02535	4.53260	4.90527	5.09987	4.48864	4.75359	4.40672	3.91202	4.47734	4.57471	4.85981	5.06890	5.04343	4.92725	4.33073	4.12713	4.46591
YMR198w	3	3.89182	4.39445	3.66356	4.67283	5.08140	5.12396	4.96284	5.14749	5.01728	4.62497	4.56435	4.89035	5.28827	4.99721	4.89035	5.26269	4.85981
YOR026w	3	5.05625	5.96358	6.63726	6.18002	6.09131	5.91350	5.92693	5.95324	5.80814	5.93754	6.15486	6.33683	5.85793	5.82600	5.79301	5.76832	5.58350
YDR356w	3	4.20469	4.41884	4.93447	5.17615	5.47227	5.50939	4.71850	4.54329	4.60517	4.49981	5.06260	5.29330	5.32301	5.14166	4.84419	4.60517	4.55388
YIL140w	3	4.77912	4.70048	6.03787	5.86930	5.32788	5.11799	4.56435	4.24850	4.07754	4.76217	5.50939	5.71043	5.55683	5.07517	4.70048	4.55388	4.54329
YKL067w	3	6.43935	6.26720	6.65157	6.90975	6.76388	6.05444	5.85220	5.52545	6.32972	6.87213	6.71659	7.15383	6.88244	6.60394	6.55393	6.76734	6.82871
YJR006w	3	5.41610	5.37528	6.19032	5.93489	5.73334	5.77144	5.66988	5.45532	5.55296	5.18178	4.58497	5.94017	5.81114	5.66643	5.45104	5.34233	5.45104
YBL003c/	3	6.58341	6.31536	7.37588	7.46908	7.81521	6.78784	7.21671	6.95940	6.61338	7.09423	7.35819	7.55799	7.25488	7.45008	7.74066	7.36455	7.05272
YBL002w/	3	5.62762	6.15273	7.27517	7.59085	7.77654	6.76619	6.86901	6.77651	6.38688	6.74524	7.35436	7.72533	7.52023	7.59186	7.42476	7.37463	6.87523
YMR190c	3	4.14313	3.55535	4.02535	4.35671	5.01064	5.03695	4.89784	4.43082	4.29046	2.48491	3.93183	4.17439	4.53260	4.43082	3.91202	4.30407	3.36730
YJL115w	3	5.23111	5.47646	6.38519	5.98645	4.94164	4.83628	4.46591	4.15888	4.97673	4.00733	4.00733	5.92158	5.76205	5.27300	4.77912	4.65396	5.03695
YDL197c	3	5.58725	5.38450	6.16542	6.01859	5.71703	5.52943	5.15906	5.13580	5.17048	5.57973	5.81413	5.84064	5.55683	5.45959	5.26786	4.97673	5.29330
YCR065w	3	4.39445	5.09987	5.63835	5.52146	5.33272	5.14166	4.87520	5.03044	4.77912	5.17048	5.45959	5.49717	5.42495	5.06890	4.69135	4.70048	4.70048
YPL016w	3	4.02535	4.21951	5.06260	5.28320	5.52943	5.48894	5.26269	5.23111	5.06890	4.51086	4.87520	4.58497	5.16479	5.07517	4.93447	4.53260	4.89784
YBL052c	3	5.00395	4.60517	4.57471	5.20949	5.66988	5.39363	5.65948	5.56452	5.37528	4.97673	4.91998	5.34233	5.57215	5.42935	5.45959	5.34233	5.32301
YBR275c	3	5.01064	5.26786	5.79301	5.63835	5.73979	5.23111	5.09987	5.29330	4.99721	5.56452	5.65599	5.65948	5.49306	5.07517	5.03044	4.73620	5.02388
YIL126w	3	4.14313	4.71850	4.80402	4.79579	5.22575	5.48064	5.16479	5.15906	5.20949	4.90527	4.82831	5.06260	5.25227	5.03695	4.93447	4.94164	4.86753
YFR037c	3	5.74620	5.99396	6.24998	6.31355	6.08677	6.02587	6.08450	6.02587	5.95584	5.74620	5.84644	6.05444	6.26530	6.02102	5.83188	6.06843	5.91620
YKL127W/	3	5.45104	5.49306	6.29527	6.50279	5.91620	6.03069	6.01127	5.90808	5.65948	6.12030	6.43775	6.28413	6.28413	6.31897	6.16331	5.86647	5.63835
YAR008w	3	4.86753	5.79301	6.59715	6.05209	5.54908	5.24175	5.24702	5.01728	5.30330	5.81413	6.07304	5.99894	6.18208	5.64897	5.37528	4.89035	5.16479
YER001w	3	5.59471	6.46925	6.88959	6.80239	6.84801	6.42972	6.27288	5.97889	5.62402	5.73657	6.43775	6.66696	6.69208	6.65415	6.34914	6.27476	6.04501
YER003c	3	4.93447	5.29832	6.05209	6.13340	6.05209	5.63121	5.66643	5.49306	5.16479	5.35659	5.69373	5.89440	5.99396	5.81413	5.44674	5.49306	5.16479
YDL093w	3	5.20401	4.76217	5.66296	5.78996	5.60212	5.27300	5.29832	5.16479	5.15329	5.09375	5.37528	5.51745	5.32301	5.04343	5.03044	4.90527	4.67283
YIR017c	3	3.82864	3.36730	4.21951	5.12990	5.43372	5.23644	4.20469	3.80666	3.89182	3.82864	4.34381	4.61512	4.49981	4.43082	4.41884	4.35671	4.43082
YKR001c	3	5.52943	5.62402	5.85793	6.07993	6.10256	6.04501	5.96358	5.67332	5.87493	5.67332	6.06611	6.06843	6.15910	6.02102	5.95842	5.93489	5.99396
YDL095w	3	6.41673	6.21860	6.62804	6.72143	6.56948	6.29711	6.28786	6.17170	6.22059	6.54965	6.67834	6.73340	6.54103	6.38519	6.44731	6.29711	6.10479
YNL073w	3	5.38450	4.91998	4.73620	4.75359	4.41884	4.57471	4.85203	4.65396	5.20949	5.55296	5.57215	5.63835	5.42935	5.23644	5.18739	5.00395	5.37064
YER118c	3	4.68213	5.19850	5.66988	5.71703	5.54908	5.40717	5.13580	5.26269	5.09987	5.05625	5.45959	5.78074	5.93225	5.76205	5.29832	5.42053	5.27811
YJR137c	3	4.95583	5.10595	5.19296	5.91080	6.67582	6.27852	5.97889	5.70044	5.42935	5.42053	5.48064	5.73657	5.97126	5.82895	5.84354	5.96871	6.12468
YER017c	3	5.23111	5.26786	5.11799	5.01728	5.36598	4.90527	5.16479	5.13580	5.18178	5.32301	5.29330	5.26786	5.22575	5.12990	4.71850	5.11199	5.24702
YER016w	3	5.23111	5.31321	5.67675	6.16331	5.75574	5.54126	5.48894	5.45104	4.99043	5.58350	5.57215	5.63121	5.54126	5.66988	5.23644	5.34233	5.24702
YCR035c	3	5.83188	5.36129	5.57595	5.75574	6.10702	5.88332	6.18415	5.96871	5.95842	5.53339	5.64545	5.90536	5.95324	5.84932	5.95064	5.67332	6.05912
YOL019w	3	5.61313	5.78690	6.35957	6.53088	6.43775	6.32972	6.09131	5.86079	6.09807	6.64249	6.63595	6.76041	6.51471	6.27476	6.07993	6.30262	6.30810
YLR151c	3	5.31321	4.47734	5.89715	5.43372	5.08140	4.66344	4.87520	4.44265	4.61512	5.08760	4.87520	5.45104	5.27811	4.99721	4.86753	4.89035	4.80402
YOR284w	3	5.30330	5.25227	6.02828	5.68698	5.09375	5.03695	4.80402	4.60517	4.48864	4.92725	5.31812	5.28320	5.03695	4.82028	4.45435	4.63473	4.73620
YMR048w	3	4.79579	4.44265	5.76519	4.72739	3.76120	3.82864	4.06044	3.61092	4.06044	4.66344	4.99043	5.09375	4.90527	4.65396	4.14313	4.23411	4.34381
YKR010c	3	5.17048	5.38450	5.50126	5.81413	6.23832	5.83188	5.85220	5.27300	5.16479	5.01728	4.88280	5.16479	5.82305	5.81413	5.76205	5.35186	5.31321
YHR061c	3	3.76120	3.33220	3.85015	4.02535	4.20469	4.41884	4.12713	3.43399	3.52636	3.25810	3.91202	4.07754	4.14313	4.20469	4.21951	3.76120	2.83321
YEL017w	3	4.27667	4.40672	4.52179	4.88280	5.09987	4.79579	4.12713	4.45435	4.39445	4.29046	3.91202	4.49981	5.11199	4.95583	4.23411	4.73620	4.43082
YLL062c	3	4.79579	4.99043	4.89784	5.92693	6.25767	6.02587	5.30330	4.86753	4.99043	5.29832	5.22036	5.54126	5.48480	5.17048	5.14166	5.36598	5.73010
YJR155w	3	5.19850	5.50533	5.85220	5.56452	5.28827	4.87520	4.48864	4.77912	4.92725	5.18178	5.34711	5.49717	5.22575	5.20401	5.06890	5.11799	5.21494
YLR126c	3	5.76519	5.61313	6.24417	5.94542	5.65249	5.09375	5.30827	4.79579	5.31321	5.34711	5.26269	5.79909	5.82895	5.61677	5.49717	5.56452	5.62040
YJL118w	3	4.66344	4.58497	5.30827	5.73334	5.66988	5.66643	5.23111	5.26786	5.18739	5.22575	5.48064	5.56452	5.58350	5.68017	5.26786	5.20401	4.99043
YDR179c	3	5.91350	6.00635	6.01616	6.45990	6.38856	6.45990	6.21661	6.00141	5.78383	5.27300	5.44674	5.86647	5.92158	6.22851	5.91620	5.74939	5.70044
YDR219c	3	4.64439	4.43082	4.27667	5.41610	5.31321	5.65249	5.08760	5.25227	5.33754	4.55388	4.88280	5.27811	5.41610	5.44674	5.33754	5.14749	5.21494
YNL176c	3	4.65396	4.36945	4.11087	4.99043	5.39363	5.35186	5.32788	5.15906	5.09987	4.35671	4.87520	5.06890	5.38450	5.04986	5.12990	4.96981	4.85203
YER018c	3	4.58497	4.62497	5.15329	5.36598	5.60580	5.14166	4.94876	4.92725	4.54329	4.66344	4.55388	4.86753	4.92725	4.96981	4.85203	4.69135	4.33073
YBR156c	3	4.73620	4.72739	5.03695	5.24702	5.57215	5.37528	5.13580	5.14749	4.83628	4.89035	4.82831	5.06260	5.18739	4.86753	4.84419	4.40672	4.55388
YLR455w	3	5.25227	5.44674	4.93447	5.84932	6.05678	5.92693	5.58725	5.86079	5.37064	5.35659	5.55296	5.70044	5.84932	6.00389	6.03787	5.69709	5.50939
YBR184w	3	4.86753	4.41884	3.73767	4.46591	4.60517	4.24850	4.00733	4.07754	3.78419	2.94444	3.25810	4.00733	4.24850	3.33220	3.68888	3.66356	3.25810
YLR228c	3	4.63473	4.38203	4.59512	4.79579	4.96981	4.56435	4.14313	4.63473	4.48864	4.51086	3.58352	4.34381	4.47734	3.93183	3.91202	4.39445	4.20469
YDR252w	3	5.35186	4.85203	4.56435	5.00395	5.37528	5.14166	4.80402	5.11799	4.85981	3.93183	4.60517	4.91265	5.03695	5.08140	4.82028	5.15329	4.89035
YNL304w	3	4.48864	5.06260	5.51343	5.19296	5.27811	4.92725	5.27300	5.18178	4.86753	5.16479	5.42053	5.63121	5.16479	5.14166	4.92725	5.15329	4.81218
YGR189C	3	6.95464	6.88857	7.51643	7.18235	7.05618	6.84375	6.79459	6.56526	6.55251	7.26892	7.06305	7.02820	7.03262	6.74876	6.40523	6.78333	6.98472
YAL034W-a	3	4.23411	4.62497	5.23111	4.90527	4.94164	4.60517	4.72739	4.34381	4.06044	4.83628	4.82028	4.96981	5.02388	4.54329	4.33073	4.00733	4.04305
YBR007c	3	5.09375	5.25750	5.79909	5.62402	5.83481	5.73010	5.51343	5.40717	5.20401	5.05625	5.36598	5.51343	5.55683	5.17048	5.28827	5.22575	5.01064
YBR276c	3	5.81114	6.09131	6.07074	6.09807	5.95064	5.74620	5.93225	5.97126	5.91620	5.89164	6.13340	6.03787	5.97635	5.72359	5.88610	5.65249	5.73979
YCRX04w	3	5.62762	6.07993	5.86363	5.83773	6.00635	6.12249	6.31536	6.13988	5.98394	5.66643	5.75257	5.77455	5.98896	6.02587	6.13988	6.23048	5.91889
YDL096c	3	3.97029	3.49651	4.06044	4.18965	3.58352	3.61092	3.04452	3.68888	3.73767	2.19722	4.20469	4.45435	4.51086	3.49651	2.56495	3.17805	3.29584
YEL018w	3	4.82028	5.08760	5.15906	5.23111	5.36598	5.17615	4.89035	5.04343	4.75359	4.69135	4.57471	4.82831	5.13580	5.32301	4.74493	5.16479	5.03695
YER019w	3	5.35659	5.30330	5.94542	6.04501	5.73010	5.46383	5.50126	5.36129	5.08760	5.37990	5.31812	5.29330	5.69709	5.53339	5.30330	5.12990	5.05625
YFR026C	3	4.72739	4.81218	5.04343	4.33073	4.30407	3.93183	3.58352	3.73767	3.71357	4.27667	4.30407	4.38203	4.04305	4.06044	3.55535	3.78419	3.76120
YFR027W	3	3.87120	4.48864	5.16479	4.72739	3.97029	3.87120	3.66356	3.36730	3.58352	4.48864	4.53260	4.40672	4.00733	3.91202	3.43399	3.52636	3.25810
YFR038w	3	3.66356	4.17439	4.47734	4.36945	4.18965	3.93183	4.14313	4.04305	4.04305	3.36730	4.20469	4.26268	4.00733	3.78419	3.91202	3.66356	3.61092
YKL066W	3	6.48311	6.06379	6.48158	6.91374	6.86276	6.39693	6.30810	5.78383	6.16752	7.29166	6.73934	6.98749	6.20254	6.61473	5.89715	6.85330	6.80793
YLL061w	3	4.36945	4.46591	4.75359	5.57215	5.88053	5.31321	4.63473	4.38203	4.62497	4.63473	4.29046	4.59512	4.83628	4.36945	4.56435	4.94164	5.08140
YNL072W	3	3.91202	4.65396	5.02388	4.63473	4.53260	4.09434	4.09434	3.68888	4.39445	5.19296	4.97673	5.13580	4.66344	4.60517	4.46591	4.36945	4.15888
YIL050w	4	4.15888	3.98898	4.36945	4.62497	5.12990	5.24175	4.94164	4.78749	4.78749	4.35671	4.46591	4.81218	4.85981	4.96284	4.90527	4.82831	4.80402
YIL106w	4	4.11087	4.41884	4.29046	4.39445	4.80402	5.25750	5.55296	5.45104	5.65599	5.08760	4.99721	4.74493	4.62497	5.01064	5.42495	5.04986	4.98361
YBL097w	4	3.29584	3.66356	3.71357	3.68888	4.43082	4.36945	4.38203	4.21951	3.98898	3.93183	3.85015	3.98898	4.11087	4.27667	4.15888	3.76120	4.09434
YKL049c	4	5.54126	5.52146	6.14204	6.24611	6.38856	6.20254	6.05678	5.96615	5.79606	5.83188	5.94542	6.08677	6.18826	6.30628	6.25575	6.06379	5.87774
YCL014w	4	3.66356	3.63759	3.46574	3.98898	4.57471	4.78749	5.08760	5.20401	4.78749	3.33220	3.85015	3.85015	4.26268	4.60517	4.53260	4.06044	4.48864
YOR188w	4	4.69135	5.04986	5.24175	5.31321	5.40717	5.62402	5.37990	5.17048	4.70048	4.64439	4.59512	5.01064	4.99721	4.94876	4.91265	4.53260	4.31749
YJR076c	4	6.48920	6.35784	6.66058	6.85751	7.00941	7.09257	6.93925	7.01031	6.62672	6.35089	6.67203	6.55820	6.71538	7.09755	7.01840	6.67960	6.52942
YJL099w	4	5.03695	4.15888	4.47734	4.87520	4.82831	5.47227	5.43808	4.94164	4.99043	4.83628	4.31749	4.69135	4.86753	5.27300	5.09375	4.96981	4.79579
YKL048c	4	4.62497	4.30407	4.45435	4.94164	5.11199	5.22575	5.10595	4.76217	4.83628	4.34381	4.55388	4.85981	5.22036	5.22575	5.22575	5.04343	5.02388
YBR038w	4	4.53260	4.17439	4.63473	4.82028	4.94876	5.27300	6.06379	6.06146	6.07304	5.44242	5.21494	4.81218	5.22036	5.03695	5.66988	5.66643	5.38450
YJL092w	4	5.19296	5.31321	5.82895	6.18621	6.35089	6.48158	6.05209	5.81413	5.54518	5.54126	5.54126	5.76519	5.87212	6.18826	5.88053	5.56834	5.41165
YCR084c	4	5.42935	5.80212	5.74939	5.97126	6.01372	5.94542	6.00389	5.97635	5.62762	5.63479	5.57215	5.59842	5.86363	5.92693	5.88053	5.59471	5.47646
YGL255w	4	4.82028	5.17615	5.00395	5.21494	5.34233	5.53339	5.79606	5.61677	5.50126	5.18739	4.89035	5.02388	5.41165	5.62040	5.80212	5.97381	5.61677
YLR014c	4	4.58497	5.45104	4.83628	4.54329	4.27667	4.43082	4.80402	4.89784	4.78749	4.63473	4.62497	4.47734	4.64439	4.61512	4.85981	4.77912	4.62497
YJL137c	4	4.90527	4.82831	4.17439	5.07517	5.48064	5.55296	5.25750	5.35186	5.07517	4.89035	4.81218	4.85981	5.09987	5.22575	5.28827	5.15329	4.95583
YOR274w	4	6.32794	6.21860	5.98896	5.67332	5.71703	5.98394	6.20456	6.36819	6.31355	5.86079	5.71373	5.71043	5.82305	5.82895	5.83188	5.72685	6.11589
YBR104w	4	5.69709	6.36303	6.60665	6.23048	6.09807	6.13123	6.49677	6.42325	6.24028	6.11368	6.22258	6.26910	6.40688	6.44572	6.66696	6.63200	6.39526
YJR112w	4	5.27811	5.35186	5.98394	6.39526	6.36475	6.19236	6.03069	5.71703	5.83481	5.73010	5.68698	6.00141	6.19644	6.52356	6.30262	6.16331	5.84644
YCR073c	4	4.66344	4.97673	5.27811	5.24175	5.34711	5.83773	5.85507	5.38907	5.24175	5.28827	5.27811	5.22575	5.25750	5.26269	5.39816	5.47227	5.22575
YDL198c	4	5.93225	5.93225	5.92959	6.28786	6.47851	6.50578	6.47543	6.33859	6.31173	6.32257	6.45520	6.55108	6.66823	6.87109	6.94409	7.11396	6.91473
YLL046c	4	5.36129	5.13580	4.91265	4.81218	5.01064	5.17615	4.91998	4.70953	4.40672	4.23411	3.66356	4.15888	4.62497	4.81218	4.75359	4.69135	4.52179
