	Main Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YKL052C	4	216	223	328	497	557	494	436	355	339	193	273	299	338	364	322	304	252
YKL053W	4	233	277	413	572	512	387	364	269	349	306	296	336	404	413	359	400	336
YKL069W	4	432	572	474	622	743	647	531	565	415	372	329	412	476	622	566	456	322
YPL116W	4	285	230	327	426	547	569	394	347	287	366	256	284	318	421	384	491	251
YPL264C	4	61	40	56	93	92	99	59	64	56	39	44	63	80	91	90	105	71
YGR108w	5	49	124	90	92	149	288	391	338	323	158	134	125	148	270	340	338	310
YPR119w	5	92	158	122	145	259	348	489	554	422	236	185	151	218	267	365	350	365
YAL040c	5	1085	1013	752	750	1274	707	1376	1294	1140	2800	1352	1103	844	1087	1261	1240	1041
YGL116w	5	37	38	44	43	49	78	164	225	183	88	74	52	57	60	106	119	146
YOL069w	5	21	3	10	35	36	83	94	100	76	30	39	20	63	63	69	53	75
YGR092w	5	113	131	134	120	167	223	321	371	376	274	223	209	167	181	192	286	286
YBR138c	5	126	96	71	106	143	204	319	417	365	200	152	137	198	198	283	319	290
YOR058c	5	110	122	56	104	96	158	218	203	194	101	86	49	110	109	140	138	167
YHR023w	5	151	117	142	144	258	390	590	537	422	373	290	245	223	369	392	410	455
YPL242C	5	194	227	200	221	407	415	492	549	408	318	294	271	253	303	345	402	394
YJR092w	5	49	96	88	84	287	230	221	421	415	218	118	164	229	230	264	297	240
YLR353w	5	107	121	119	188	255	297	344	343	390	282	164	181	241	251	333	347	315
YCL037C	5	188	269	223	232	433	324	397	381	320	337	223	225	271	286	261	305	269
YMR001c	5	86	106	89	154	219	367	549	602	480	238	219	202	324	326	435	496	471
YGL021w	5	81	97	116	125	200	279	365	343	296	180	135	151	193	316	324	363	261
YCR042c	5	234	260	138	108	111	145	216	377	360	360	283	195	145	164	260	215	305
YOR025w	5	33	29	43	46	69	157	190	178	273	103	98	64	128	149	152	158	165
YOR229w	5	161	208	117	124	132	164	285	364	346	352	225	137	112	151	222	282	292
YDR146c	5	121	167	272	268	323	540	634	591	606	540	463	357	449	937	743	1024	659
YLR131c	5	148	113	144	209	319	360	434	411	462	398	226	187	325	433	343	466	344
YNL053w	5	166	179	134	180	254	326	372	384	305	145	169	201	204	207	246	328	224
YKL130C	5	332	406	307	341	439	534	583	797	733	506	423	434	366	557	579	626	499
YIL162w	5	151	76	50	79	102	116	138	176	173	107	122	96	95	83	96	114	125
YDL138W	5	568	561	323	261	363	369	450	584	610	566	455	306	319	437	455	608	510
YDL048c	5	277	84	93	147	235	227	239	276	227	127	120	125	111	76	143	214	264
YGR143w	5	74	64	31	50	43	74	159	181	216	105	99	74	53	64	127	170	167
YKL129c	5	224	159	113	121	204	205	222	356	250	242	207	142	140	202	240	231	227
YIL167w	5	131	72	40	34	38	64	77	101	127	99	91	85	79	87	110	95	126
YHR152w	5	675	710	743	809	866	979	1327	1536	1204	1412	1070	721	695	750	1004	1139	1359
YPR167C	5	378	451	471	636	979	887	630	513	411	334	419	491	605	833	918	961	920
YJL079c	5	184	246	124	132	85	89	171	468	490	277	225	140	99	86	155	263	368
YAR018c	5	209	139	133	164	181	163	454	777	712	376	331	253	215	131	257	319	453
YAL022c	5	316	309	414	277	272	263	726	762	711	768	592	485	408	526	736	799	852
YGR279c	5	248	351	372	271	297	415	532	612	661	782	407	408	446	418	553	648	573
YGL201c	5	74	131	92	64	53	78	135	170	161	161	127	113	63	92	99	118	130
YNL057w	5	95	92	88	100	110	175	331	325	415	341	274	280	241	221	317	406	432
YML119w	5	325	277	401	343	246	498	1056	1177	1041	785	643	457	425	671	783	1049	945
YOL137w	5	147	167	100	81	133	154	184	223	249	175	154	156	159	165	166	226	196
YPL186c	5	252	124	67	48	60	75	81	97	64	23	33	44	38	40	50	123	94
YCL038c	5	173	146	127	175	161	211	283	325	337	318	218	187	191	102	232	200	250
YML033w	5	259	324	206	320	568	578	701	1041	720	596	395	371	476	648	787	953	857
YML034w	5	47	53	20	77	109	153	192	261	176	90	71	83	128	140	143	153	133
YKR021w	5	184	157	163	133	108	229	341	378	305	159	63	149	167	175	217	269	234
YPR157w	5	100	19	41	58	61	78	126	140	79	55	45	14	34	53	98	104	97
YJL051w	5	175	131	101	138	184	319	359	384	328	293	144	116	142	225	252	295	205
YOL014w	5	452	270	91	225	261	313	642	616	460	322	288	159	285	324	547	564	556
YOR315w	5	147	163	213	209	323	601	886	977	665	358	318	339	476	578	797	1282	896
YGR230w	5	200	189	157	136	143	180	288	417	412	257	149	122	89	141	175	291	289
YLR190w	5	319	226	358	294	516	645	1208	1273	925	621	498	375	441	510	741	864	923
YMR032w	5	45	54	82	79	88	236	459	704	396	277	186	115	104	209	363	328	305
YOL070c	5	417	384	446	406	413	612	779	867	929	1008	736	691	554	672	760	1283	934
YLR297W	5	1140	650	734	852	943	821	1344	1722	1426	1713	1270	972	800	934	1487	1703	1806
YHL028W	5	4	2	3	12	27	97	190	238	122	10	29	21	44	57	97	145	178
YHR151C	5	40	47	40	59	48	63	106	134	135	83	90	64	56	52	97	73	77
YNL058C	5	290	248	334	346	397	605	942	989	1004	1248	774	840	517	697	935	1564	1192
